rank,patch_id,centroid_longitude,centroid_latitude,centroid_x_utm31n,centroid_y_utm31n,bbox_coordinates_utm31n,landcoverSuitability,slope,soil,floodRisk,urbanProximity,overall_score
1,85,996280.0,4673100.0,499694.100275042,4655671.697071934,"499161.84,4655139.43,500226.37,4656203.97",0.788805770772108,0.9705372335989783,0.9468804159445406,0.710894477742345,0.7958042508518077,4.2129221489097795
2,129,1003280.0,4670100.0,506445.428470699,4652198.313920975,"505913.23,4651666.11,506977.63,4652730.52",0.9633983435746726,0.9705372335989783,0.9527296360485269,0.2527125681722305,0.9578335972952973,4.097211378689705
3,139,1004280.0,4667100.0,507229.99063725496,4649145.077365546,"506697.81,4648612.90,507762.17,4649677.26",0.8992786534865083,0.9999999999999999,0.8860051993067589,0.3121715020911034,0.9987866967360068,4.0962420516203775
4,121,1004280.0,4671100.0,507509.83327049343,4653122.760146271,"506977.63,4652590.56,508042.04,4653654.97",0.899278653486508,0.9705372335989783,0.9705372616984402,0.2825285806435083,0.9369490762144372,4.059830805641873
5,134,1003280.0,4669100.0,506375.4609050147,4651203.881502728,"505843.26,4650671.69,506907.66,4651736.08",0.954181138124499,0.9419410683221774,0.8555025996533796,0.3389461948904643,0.9234734162565968,4.014044417247117
6,65,993280.0,4674100.0,496780.5269473236,4656876.299131089,"496248.24,4656344.01,497312.82,4657408.59",0.6271707186748597,0.9419410683221774,0.9276429809358752,0.9426472430611293,0.8813307832821462,4.320732794276188
7,137,1004280.0,4668100.0,507299.9330824561,4650139.499313191,"506767.75,4649607.32,507832.12,4650671.69",0.9461661768634785,0.9705372335989783,0.8409445407279028,0.6086384781026837,0.8897089024970944,4.255995331790138
8,129,1003280.0,4670100.0,506445.428470699,4652198.313920975,"505913.23,4651666.11,506977.63,4652730.52",0.9633983435746726,0.9705372335989783,0.9527296360485269,0.2527125681722305,0.9578335972952973,4.097211378689705
9,139,1004280.0,4667100.0,507229.99063725496,4649145.077365546,"506697.81,4648612.90,507762.17,4649677.26",0.8992786534865083,0.9999999999999999,0.8860051993067589,0.3121715020911034,0.9987866967360068,4.0962420516203775
10,3,1004280.0,4683100.0,508350.5259783593,4665055.728376804,"507818.26,4664523.46,508882.80,4665588.00",0.883248730964467,0.9532062261496428,0.9376083188908146,0.36312555891286763,0.9462268543499407,4.083415689267733
11,65,993280.0,4674100.0,496780.5269473236,4656876.299131089,"496248.24,4656344.01,497312.82,4657408.59",0.6271707186748597,0.9419410683221774,0.9276429809358752,0.9426472430611293,0.8813307832821462,4.320732794276188
12,85,996280.0,4673100.0,499694.100275042,4655671.697071934,"499161.84,4655139.43,500226.37,4656203.97",0.788805770772108,0.9705372335989783,0.9468804159445406,0.710894477742345,0.7958042508518077,4.2129221489097795
13,134,1003280.0,4669100.0,506375.4609050147,4651203.881502728,"505843.26,4650671.69,506907.66,4651736.08",0.954181138124499,0.9419410683221774,0.8555025996533796,0.3389461948904643,0.9234734162565968,4.014044417247117
14,136,1003280.0,4668100.0,506305.5054807309,4650209.448247811,"505773.31,4649677.26,506837.70,4650741.64",0.9746192893401013,0.9419410683221774,0.8003899480069322,0.35305519253960893,0.9315880041960296,4.00159350240485
15,87,998280.0,4673100.0,501683.10486661585,4655531.666880037,"501150.85,4654999.42,502215.36,4656063.92",0.9157093240716003,0.9999999999999999,0.9350086655112652,0.16177547316368013,0.9818850969319298,3.9943785596784753
16,65,993280.0,4674100.0,496780.5269473236,4656876.299131089,"496248.24,4656344.01,497312.82,4657408.59",0.6271707186748597,0.9419410683221774,0.9276429809358752,0.9426472430611293,0.8813307832821462,4.320732794276188
17,137,1004280.0,4668100.0,507299.9330824561,4650139.499313191,"506767.75,4649607.32,507832.12,4650671.69",0.9461661768634785,0.9705372335989783,0.8409445407279028,0.6086384781026837,0.8897089024970944,4.255995331790138
18,135,1004280.0,4669100.0,507369.887670883,4651133.920425795,"506837.70,4650601.73,507902.08,4651666.11",0.7461928934010151,0.9705372335989783,0.8458838821490468,0.6334216717489342,0.923349937737069,4.119385618635043
19,139,1004280.0,4667100.0,507229.99063725496,4649145.077365546,"506697.81,4648612.90,507762.17,4649677.26",0.8992786534865083,0.9999999999999999,0.8860051993067589,0.3121715020911034,0.9987866967360068,4.0962420516203775
20,136,1003280.0,4668100.0,506305.5054807309,4650209.448247811,"505773.31,4649677.26,506837.70,4650741.64",0.9746192893401013,0.9419410683221774,0.8003899480069322,0.35305519253960893,0.9315880041960296,4.00159350240485
21,135,1004280.0,4669100.0,507369.887670883,4651133.920425795,"506837.70,4650601.73,507902.08,4651666.11",0.7461928934010151,0.9705372335989783,0.8458838821490468,0.6334216717489342,0.923349937737069,4.119385618635043
22,121,1004280.0,4671100.0,507509.83327049343,4653122.760146271,"506977.63,4652590.56,508042.04,4653654.97",0.899278653486508,0.9705372335989783,0.9705372616984402,0.2825285806435083,0.9369490762144372,4.059830805641873
23,136,1003280.0,4668100.0,506305.5054807309,4650209.448247811,"505773.31,4649677.26,506837.70,4650741.64",0.9746192893401013,0.9419410683221774,0.8003899480069322,0.35305519253960893,0.9315880041960296,4.00159350240485
24,19,1004280.0,4679100.0,508070.10105186526,4661078.0856457325,"507537.85,4660545.84,508602.35,4661610.34",0.9265295217739778,0.9999999999999999,1.0,0.07917718412096002,0.9646979612114212,3.970404667106359
25,67,996280.0,4674100.0,499764.12228515866,4656666.211077386,"499231.85,4656133.94,500296.39,4657198.48",0.8056371894202512,0.9419410683221774,0.8634315424610051,0.5750297929554654,0.7742317119962177,3.960271305155117
